5100,2013-06-28,2013-06-28,60,Dayton St & North Ave,3
5125,2013-06-28,2013-06-28,69,Damen Ave & Pierce Ave,20
5127,2013-06-28,2013-06-28,37,Dearborn St & Adams St,16
5128,2013-06-28,2013-06-28,69,Damen Ave & Pierce Ave,34
5130,2013-06-28,2013-06-28,52,Michigan Ave & Lake St,45
5131,2013-06-28,2013-06-28,52,Michigan Ave & Lake St,41
5132,2013-06-28,2013-06-28,72,State St & 16th St,15
5133,2013-06-28,2013-06-28,37,Dearborn St & Adams St,14
5136,2013-06-28,2013-06-28,76,Lake Shore Dr & Monroe St,28
5137,2013-06-28,2013-06-28,61,Wood St & Milwaukee Ave,21
5140,2013-06-28,2013-06-28,42,Wabash Ave & Cermak Rd,7
5173,2013-06-28,2013-06-28,26,McClurg Ct & Illinois St,22
5199,2013-06-28,2013-06-28,91,Clinton St & Washington Blvd,11
5248,2013-06-28,2013-06-28,85,Michigan Ave & Oak St,47
5250,2013-06-28,2013-06-28,26,McClurg Ct & Illinois St,3
5251,2013-06-28,2013-06-28,30,Ashland Ave & Augusta Blvd,26
5252,2013-06-28,2013-06-28,91,Clinton St & Washington Blvd,12
5255,2013-06-28,2013-06-28,52,Michigan Ave & Lake St,23
5256,2013-06-28,2013-06-28,29,Noble St & Milwaukee Ave,17
5260,2013-06-28,2013-06-28,52,Michigan Ave & Lake St,10
5262,2013-06-28,2013-06-28,52,Michigan Ave & Lake St,8
5284,2013-06-28,2013-06-28,26,McClurg Ct & Illinois St,30
5293,2013-06-28,2013-06-28,31,Franklin St & Chicago Ave,31
5294,2013-06-28,2013-06-28,91,Clinton St & Washington Blvd,18
5305,2013-06-28,2013-06-28,31,Franklin St & Chicago Ave,16
5312,2013-06-28,2013-06-28,75,Canal St & Jackson Blvd,23
5313,2013-06-28,2013-06-28,19,Loomis St & Taylor St,19
5314,2013-06-28,2013-06-28,45,Michigan Ave & Congress Pkwy,35
5319,2013-06-28,2013-06-28,74,Kingsbury St & Erie St,11
5327,2013-06-28,2013-06-28,27,Larrabee St & North Ave,10
5335,2013-06-28,2013-06-28,26,McClurg Ct & Illinois St,27
5346,2013-06-28,2013-06-28,74,Kingsbury St & Erie St,59
